"","X","FOLIOVIV","FOLIOHOG","tam_loc","sexo_jefe","edad_jefe","educa_jefe","tot_integ","p12_64","p65mas","remesas","ing_cor","int0a12","int12a64","int65a98","depdemog","muj12a49","tot_per","ltot_per","p_esc3","p_esc5b","trab_sub","trab_ind","trab_s_pago","seg_alim2","seg_alim3","seg_alim_a","seg_pop","ss","jtrab_ind","ssjtrabind","con_remesas","viv_prop","viv_rent","tot_cuar","bao13","piso_fir","piso_rec","combustible","sin_refri","sin_vehi","sin_compu","sin_vidvd","sin_telef","sin_horno","factor","rururb","tamhogesc","ict","ictpc","finalMemb_rur"
"1060",1060,1060026804,1,4,2,47,6,4,4,0,0,8362.38,0,4,0,0,4,4,1.38629436111989,0,0,1,1,0,0,0,0,4,0,1,0,0,1,0,2,1,1,0,1,0,1,1,1,1,1,146,1,3.6892,2061.18123279,559.435767318118,1
"1061",1061,1060026805,1,4,2,41,6,4,2,0,0,16480.32,2,2,0,1,1,4,1.38629436111989,0,1,0,1,0,0,0,0,4,1,1,1,0,0,0,3,1,1,0,1,0,1,1,0,1,1,146,1,3.1415,4142.97183693,1319.46946902117,3
"1062",1062,1060026907,1,4,1,73,4,1,0,1,2445.65,15293.98,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2,0,1,0,0,1,1,1,1,0,1,146,1,1,4251.54556354,4251.54556354,5
"1063",1063,1060026908,1,4,1,19,8,2,2,0,0,12686.32,0,2,0,0,1,2,0.693147180559945,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,1,1,1,1,1,1,1,146,1,1.7002,3492.82235868,2054.77153198447,5
"1064",1064,1060026909,1,4,1,56,6,2,2,0,0,30492.53,0,2,0,0,0,2,0.693147180559945,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,5,1,1,0,0,0,0,1,0,0,1,146,1,1.989,8160.93301165,4103.53042315234,5
"1065",1065,1060026910,1,4,1,48,6,4,4,0,0,52676.4,0,4,0,0,3,4,1.38629436111989,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,6,1,1,0,1,0,0,1,1,1,1,146,1,3.7217,16100.49602075,4326.84464646533,1
"1066",1066,1060026911,1,4,1,58,6,4,4,0,0,57353.18,0,4,0,0,1,4,1.38629436111989,0,1,3,0,0,0,0,0,1,4,0,0,0,1,0,4,1,1,0,0,0,0,1,0,0,0,146,1,3.978,17628.38077322,4432.21688617898,4
"1067",1067,1060026912,1,4,1,56,6,3,3,0,0,31112.32,0,3,0,0,2,3,1.09861228866811,0,1,2,1,1,0,0,0,2,1,0,0,0,1,0,5,1,1,0,1,0,0,1,1,1,1,146,1,2.9835,8900.90847766,2984.04289514329,1
"1068",1068,1060064302,1,4,1,65,4,2,1,1,2445.65,62420.78,0,1,1,1,0,2,0.693147180559945,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,3,1,0,1,0,0,0,1,1,0,0,195,1,1.989,19215.57181037,9661.41820531423,5
"1069",1069,1060064304,1,4,1,87,3,2,0,2,0,29214.95,0,0,2,0,0,2,0.693147180559945,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,4,1,1,0,0,0,0,1,1,0,0,195,1,1.989,8573.99129927,4311.20175931121,5
"1070",1070,1060064305,1,4,2,51,3,4,3,0,0,18889.06,1,3,0,0.333333333333333,2,4,1.38629436111989,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0,0,1,1,1,1,1,195,1,3.3978,5442.60700183,1602.50891807346,4
"1071",1071,1060064306,1,4,1,30,6,2,2,0,0,15962.82,0,2,0,0,1,2,0.693147180559945,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,0,195,1,1.989,4568.38404612,2297.32179292107,5
"1072",1072,1060064407,1,4,1,42,6,6,5,0,0,27571.62,1,5,0,0.2,2,6,1.79175946922805,1,0,1,1,0,0,0,0,5,0,1,0,0,1,0,6,0,1,0,0,0,0,1,1,0,1,195,1,5.1331,7818.36989863,1523.93349021644,1
"1073",1073,1060064408,1,4,1,53,3,2,2,0,0,20247.64,0,2,0,0,0,2,0.693147180559945,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,1,1,1,1,1,195,1,1.989,5048.67704476,2538.79640259427,5
"1074",1074,1060064410,1,4,1,76,4,5,3,1,0,9163.1,1,3,1,0.666666666666667,1,5,1.6094379124341,0,1,0,1,0,0,0,0,5,0,0,0,0,1,0,5,0,1,0,0,0,0,1,0,0,0,195,1,4.6811,1849.3096575,395.845155519002,1
"1075",1075,1060064412,1,4,1,50,6,8,5,0,16141.3,49710.04,3,5,0,0.6,2,8,2.07944154167984,0,0,2,2,1,0,0,0,7,1,1,1,1,1,0,7,1,0,1,0,0,0,1,0,1,1,195,1,6.8632,15128.97334591,2205.21572239043,2
"1076",1076,1060064516,1,4,1,41,4,6,4,0,0,17778.5,1,4,0,0.25,3,5,1.6094379124341,0,1,0,1,0,0,0,0,6,1,1,1,0,1,0,3,0,1,0,0,0,0,1,1,1,1,195,1,4.8391,4185.69973706,865.768187691926,1
"1077",1077,1060064517,1,4,1,60,3,8,6,0,88664.67,124926.32,2,6,0,0.333333333333333,3,8,2.07944154167984,0,1,1,1,0,0,0,0,7,1,1,1,1,1,0,10,1,1,0,0,0,0,0,0,0,0,195,1,6.8983,38566.38255672,5591.56326293724,2
"1078",1078,1060064518,1,4,1,33,3,4,3,0,244.56,14933.69,1,3,0,0.333333333333333,2,4,1.38629436111989,0,1,1,0,0,0,0,0,4,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,1,195,1,3.4303,3067.43295794,894.925591913244,3
"1079",1079,1060064619,1,4,1,64,6,4,4,0,0,101619.34,0,4,0,0,1,4,1.38629436111989,0,1,0,2,0,0,0,0,4,1,1,1,0,1,0,6,1,0,1,0,0,0,1,1,1,1,195,1,3.978,32348.49050913,8132.59640752388,1
"1080",1080,1060064621,1,4,1,40,4,5,3,0,0,13426.2,2,3,0,0.666666666666667,1,5,1.6094379124341,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,3,1,1,0,0,0,0,1,1,1,1,195,1,4.1685,3631.691566,871.982743432889,3
"1081",1081,1060064622,1,4,1,53,4,3,3,0,0,130071.14,0,3,0,0,0,3,1.09861228866811,0,1,1,1,1,0,0,0,3,0,1,0,0,1,0,5,1,1,0,0,0,0,1,1,0,1,195,1,2.6947,40402.87551249,14994.0884745946,1
"1082",1082,1060064623,1,4,1,27,6,2,2,0,0,31308.19,0,2,0,0,1,2,0.693147180559945,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,1,195,1,1.989,9604.91159187,4829.51261531926,5
"1083",1083,1060064624,1,4,2,40,6,3,2,0,5311.47,8213.1,1,2,0,0.5,2,3,1.09861228866811,0,0,0,1,0,1,1,0,3,0,1,0,1,1,0,3,0,1,0,0,0,1,1,0,1,0,195,1,2.4709,1931.35716107,782.236456784977,3
"1084",1084,1060085019,1,4,1,56,10,6,6,0,0,78009.59,0,6,0,0,4,6,1.79175946922805,0,1,0,1,0,0,0,0,5,0,1,0,0,1,0,6,1,0,1,0,0,0,0,1,0,0,155,1,5.3894,24484.32400066,4543.86636743608,2
"1085",1085,1060085020,1,4,1,47,3,4,4,0,0,14364.62,0,4,0,0,3,4,1.38629436111989,0,1,2,0,0,0,0,0,4,0,0,0,0,1,0,3,0,1,0,0,0,1,1,1,1,1,155,1,3.4329,3964.7549181,1155.63745465933,1
"1086",1086,1060085021,1,4,1,62,4,4,4,0,0,33842.09,0,4,0,0,0,4,1.38629436111989,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,1,1,1,1,1,155,1,3.978,10026.86164012,2521.32720968326,1
"1087",1087,1060085022,1,4,1,51,8,5,4,0,0,35148.48,1,4,0,0.25,2,5,1.6094379124341,0,1,4,0,0,0,0,0,0,3,0,0,0,1,0,4,1,1,0,1,0,1,1,1,1,0,155,1,4.7162,10272.63570169,2178.94743685382,4
"1088",1088,1060085023,1,4,1,42,4,4,4,0,0,31746.34,0,4,0,0,1,4,1.38629436111989,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,4,0,1,0,0,0,1,1,0,1,0,155,1,3.4004,9630.8192718,2832.96661328079,1
"1089",1089,1060085024,1,4,1,73,4,4,2,1,0,25824.86,1,2,1,1,1,4,1.38629436111989,0,1,2,0,0,0,0,0,2,1,0,0,0,1,0,4,0,1,0,0,0,1,1,0,1,0,155,1,3.6866,7625.80084817,2069.24739547822,1
"1090",1090,1060085701,1,4,1,42,10,1,1,0,0,98759,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,1,0,0,0,1,1,1,0,155,1,1,31791.11352762,31791.11352762,5
"1091",1091,1060085702,1,4,1,40,6,5,4,0,0,50560.55,1,4,0,0.25,1,5,1.6094379124341,0,1,2,1,0,0,0,0,0,5,1,0,0,1,0,4,1,1,0,0,0,0,0,0,1,0,155,1,4.1711,13284.30456644,3185.60467656973,4
"1092",1092,1060085703,1,4,1,59,4,5,3,0,1475.4,19813.94,2,3,0,0.666666666666667,2,5,1.6094379124341,0,1,2,1,0,0,0,0,4,0,0,0,1,1,0,4,1,1,0,0,0,0,1,1,1,0,155,1,4.4248,5257.64789402,1188.99672166426,1
"1093",1093,1060085704,1,4,1,68,3,2,1,1,0,9637.5,0,1,1,1,0,2,0.693147180559945,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,6,1,1,0,0,0,0,1,1,1,0,155,1,1.989,2188.87030037,1100.98506805933,5
"1094",1094,1060085705,1,4,2,71,1,4,3,1,0,41660.64,0,3,1,0.333333333333333,0,4,1.38629436111989,0,1,1,1,0,0,0,0,4,0,0,0,0,1,0,4,1,1,0,0,0,0,1,0,0,0,155,1,3.6892,12273.10771885,3327.49564101973,1
"1095",1095,1060085706,1,4,1,52,3,4,3,0,0,9489.75,1,3,0,0.333333333333333,1,4,1.38629436111989,0,1,1,1,0,1,1,1,3,0,1,0,0,1,0,4,0,1,0,0,1,0,1,0,1,1,155,1,3.6866,2559.56261372,695.016875636087,1
"1096",1096,1060085807,1,4,2,57,4,6,4,1,0,16828.76,1,4,1,0.5,1,6,1.79175946922805,0,0,4,0,0,1,0,1,2,0,0,0,0,1,0,3,1,1,0,1,0,1,1,0,1,0,155,1,5.6756,4734.77222475,835.056703211995,3
"1097",1097,1060085808,1,4,1,76,3,1,0,1,0,87237.74,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,6,1,1,0,0,0,0,1,1,0,1,155,1,1,26629.2401772,26629.2401772,5
"1098",1098,1060085810,1,4,1,44,8,5,4,0,0,76770.47,1,4,0,0.25,3,5,1.6094379124341,1,1,1,0,0,0,0,0,3,2,0,0,0,1,0,4,1,1,0,0,0,0,1,1,1,0,155,1,4.3923,23653.4754915,5385.98633779569,1
"1099",1099,1060085812,1,4,1,47,8,2,2,0,8360.65,55719.18,0,2,0,0,1,2,0.693147180559945,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,6,1,0,1,0,0,0,0,0,1,0,155,1,1.989,17024.86411725,8560.00659489693,5
"1100",1100,1060085913,1,4,1,46,8,3,3,0,0,29863.44,0,3,0,0,2,3,1.09861228866811,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,5,1,1,0,0,0,0,1,1,0,0,155,1,2.9835,9075.20305577,3042.46239509636,4
"1101",1101,1060085914,1,4,2,36,8,3,1,0,0,29508.48,2,1,0,2,1,3,1.09861228866811,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,4,1,1,0,0,0,1,1,1,1,1,155,1,2.4358,9230.86926134,3790.25579330815,4
"1102",1102,1060085915,1,4,2,37,6,4,3,0,0,11958.42,1,3,0,0.333333333333333,2,4,1.38629436111989,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,5,1,1,0,0,0,0,1,0,1,1,155,1,3.3978,2901.59556371,854.668716142798,1
"1103",1103,1060085916,1,4,1,43,8,5,2,0,0,19432.41,3,2,0,1.5,1,5,1.6094379124341,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,4,0,1,0,0,0,0,1,1,1,0,155,1,4.1685,5867.33136648,1408.30031581624,4
"1104",1104,1060085917,1,4,1,41,10,4,2,0,0,78922.84,2,2,0,1,1,4,1.38629436111989,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,155,1,3.4303,25242.88922136,7359.50777522666,4
"1105",1105,1060085918,1,4,2,46,6,4,2,0,0,20574.15,2,2,0,1,1,4,1.38629436111989,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,5,0,1,0,0,0,1,1,1,1,1,155,1,3.1415,6362.21531894,2025.89744355881,3
"1106",1106,1060089201,1,4,1,34,4,4,3,0,0,16766.52,1,3,0,0.333333333333333,1,4,1.38629436111989,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,164,1,3.4329,4868.30775159,1418.84140277608,1
"1107",1107,1060089203,1,4,1,54,8,4,4,0,2834.25,57465.06,0,4,0,0,0,4,1.38629436111989,0,1,2,2,1,0,0,0,0,4,1,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,164,1,3.978,17260.54490841,4339.74934851936,4
"1108",1108,1060089205,1,4,1,51,6,4,3,0,0,20928.07,1,3,0,0.333333333333333,0,4,1.38629436111989,0,0,2,0,0,0,0,0,3,1,0,0,0,1,0,6,1,0,1,0,0,0,1,1,1,1,164,1,3.7217,5716.27077219,1536.6613300884,1
"1109",1109,1060089307,1,4,1,68,3,4,3,1,0,41350.36,0,3,1,0.333333333333333,2,4,1.38629436111989,0,0,1,2,1,0,0,0,2,2,1,0,0,1,0,4,1,0,1,0,0,0,0,1,0,0,164,1,3.978,12350.88039948,3105.5450979085,1
"1110",1110,1060089308,1,4,1,40,3,5,3,0,0,16683.03,2,3,0,0.666666666666667,1,5,1.6094379124341,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,1,0,0,1,1,1,1,1,164,1,4.136,4380.10444288,1059.77766994197,3
